┌────────────┬───────────────────────┐
│    date    │  moving_7d_avg_prcp   │
│    date    │        double         │
├────────────┼───────────────────────┤
│ 2013-07-01 │                       │
│ 2013-07-02 │                       │
│ 2013-07-03 │                       │
│ 2013-07-04 │   0.20714285714285713 │
│ 2013-07-05 │   0.11857142857142856 │
│ 2013-07-06 │   0.13999999999999999 │
│ 2013-07-07 │    0.0642857142857143 │
│ 2013-07-08 │    0.0642857142857143 │
│ 2013-07-09 │   0.09999999999999999 │
│ 2013-07-10 │   0.10857142857142857 │
│ 2013-07-11 │   0.10857142857142857 │
│ 2013-07-12 │   0.07714285714285715 │
│ 2013-07-13 │   0.04428571428571428 │
│ 2013-07-14 │   0.04428571428571428 │
│ 2013-07-15 │   0.04428571428571428 │
│ 2013-07-16 │  0.008571428571428572 │
│ 2013-07-17 │                   0.0 │
│ 2013-07-18 │                   0.0 │
│ 2013-07-19 │  0.008571428571428572 │
│ 2013-07-20 │   0.05285714285714286 │
│ 2013-07-21 │   0.05285714285714286 │
│ 2013-07-22 │  0.054285714285714284 │
│ 2013-07-23 │  0.054285714285714284 │
│ 2013-07-24 │  0.054285714285714284 │
│ 2013-07-25 │   0.08857142857142856 │
│ 2013-07-26 │   0.08142857142857143 │
│ 2013-07-27 │  0.037142857142857144 │
│ 2013-07-28 │  0.037142857142857144 │
│ 2013-07-29 │    0.1285714285714286 │
│ 2013-07-30 │    0.1285714285714286 │
│ 2013-07-31 │   0.13714285714285715 │
│ 2013-08-01 │   0.10285714285714286 │
│ 2013-08-02 │   0.10142857142857142 │
│ 2013-08-03 │   0.10142857142857142 │
│ 2013-08-04 │   0.10142857142857142 │
│ 2013-08-05 │   0.07428571428571429 │
│ 2013-08-06 │   0.08142857142857143 │
│ 2013-08-07 │   0.07285714285714286 │
│ 2013-08-08 │   0.07285714285714286 │
│ 2013-08-09 │                  0.08 │
│ 2013-08-10 │   0.20142857142857146 │
│ 2013-08-11 │   0.20142857142857146 │
│ 2013-08-12 │    0.1357142857142857 │
│ 2013-08-13 │    0.1285714285714286 │
│ 2013-08-14 │    0.1285714285714286 │
│ 2013-08-15 │    0.1285714285714286 │
│ 2013-08-16 │   0.12142857142857143 │
│ 2013-08-17 │                   0.0 │
│ 2013-08-18 │                   0.0 │
│ 2013-08-19 │   0.03571428571428571 │
│ 2013-08-20 │   0.03571428571428571 │
│ 2013-08-21 │   0.03571428571428571 │
│ 2013-08-22 │   0.03571428571428571 │
│ 2013-08-23 │  0.041428571428571426 │
│ 2013-08-24 │   0.04285714285714286 │
│ 2013-08-25 │   0.10428571428571429 │
│ 2013-08-26 │   0.06857142857142857 │
│ 2013-08-27 │   0.06857142857142857 │
│ 2013-08-28 │   0.06857142857142857 │
│ 2013-08-29 │   0.06857142857142857 │
│ 2013-08-30 │   0.06999999999999999 │
│ 2013-08-31 │   0.07285714285714286 │
│ 2013-09-01 │  0.011428571428571429 │
│ 2013-09-02 │  0.011428571428571429 │
│ 2013-09-03 │  0.011428571428571429 │
│ 2013-09-04 │  0.011428571428571429 │
│ 2013-09-05 │  0.011428571428571429 │
│ 2013-09-06 │  0.004285714285714286 │
│ 2013-09-07 │ 0.0014285714285714286 │
│ 2013-09-08 │ 0.0014285714285714286 │
│ 2013-09-09 │                  0.23 │
│ 2013-09-10 │    0.2385714285714286 │
│ 2013-09-11 │    0.2385714285714286 │
│ 2013-09-12 │    0.2385714285714286 │
│ 2013-09-13 │   0.24285714285714288 │
│ 2013-09-14 │   0.24142857142857146 │
│ 2013-09-15 │   0.24142857142857146 │
│ 2013-09-16 │  0.012857142857142857 │
│ 2013-09-17 │  0.004285714285714286 │
│ 2013-09-18 │   0.10714285714285714 │
│ 2013-09-19 │   0.17142857142857143 │
│ 2013-09-20 │   0.16714285714285712 │
│ 2013-09-21 │   0.16714285714285712 │
│ 2013-09-22 │   0.16714285714285712 │
│ 2013-09-23 │   0.16714285714285712 │
│ 2013-09-24 │   0.16714285714285712 │
│ 2013-09-25 │    0.0642857142857143 │
│ 2013-09-26 │                   0.0 │
│ 2013-09-27 │                   0.0 │
│ 2013-09-28 │                   0.0 │
│ 2013-09-29 │                   0.0 │
│ 2013-09-30 │                   0.0 │
│ 2013-10-01 │                   0.0 │
│ 2013-10-02 │                   0.0 │
│ 2013-10-03 │                   0.0 │
│ 2013-10-04 │   0.03571428571428571 │
│ 2013-10-05 │   0.03571428571428571 │
│ 2013-10-06 │   0.03571428571428571 │
│ 2013-10-07 │   0.03571428571428571 │
│ 2013-10-08 │  0.038571428571428576 │
│ 2013-10-09 │  0.038571428571428576 │
│ 2013-10-10 │  0.038571428571428576 │
│ 2013-10-11 │  0.002857142857142857 │
│ 2013-10-12 │  0.002857142857142857 │
│ 2013-10-13 │  0.002857142857142857 │
